#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,prop1
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:55.456Z,18,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:57.4Z,27.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:59.338Z,17.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:00.55Z,27,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:02.235Z,25.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:04.166Z,17,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:06.101Z,19.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:07.101Z,18.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:09.008Z,17,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:10.942Z,17,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:12.883Z,14,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:14.824Z,12.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:16.74Z,20.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:17.744Z,17,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:19.654Z,15,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:21.598Z,28.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:23.539Z,20,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:25.469Z,15.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:27.409Z,16,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:28.418Z,18,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:30.414Z,15,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:32.387Z,24,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:34.18Z,19.5,angleApparent,environment,wind
